album,track,lyrics
333,Shy guy,"(What?)

(What?)

Mmm, oh, mmm

3:33 and I'm up watching tv

So it isn't as quiet in my house on my own

15 miles 'til I'm up in your bed

But I been all in my head because I'm finally alone

You could be here sipping with me right now

You should be here, but you're trippin' on me right now (right now)

Shy guy

Always saying, ""It's the wrong time""

Even though you know it feels right

Love don't fit into your timeline

(La-la-la-la-la)

Shy guy

Always saying, ""It's the wrong time""

Even though you know it feels right

Love don't fit into your timeline

Shy guy

"
333,Bouncin,"Eyy, yeah

Watch it bouncin on the ground

Got my edges sweating out

Turn it up extra loud

(Oh ohhh)

Ya tonight we stepping out

Been a minute since I found

Someone who could hold it down...

(Oh ohhh)

What you really talking bout?

I been sending dirty pics

Hope they make it to the cloud

(Oh ohhh)

Watch it bouncin on the ground

Got my edges sweating out

Ba - bouncin on the ground

Ba - bouncin on the ground

(Oh ohhh)

Ba - bouncin on the ground

(Oh ohhh)

Cuban links, all the gold on my neck...

Shining, brighter than a spotlight

Might intimidate ya

Dont, Ima see you later

Calling me, all of these hoes on my neck

Lately, I dont even call back

Might intimidate ya

Dont, Ima see you later

Ba - bouncin on the ground

(Oh ohhh)

Ba - bouncin on the ground

(Oh ohhh)

Ba - bouncin on the ground

Eyy, yeah

Watch it bouncin on the ground

Got my edges sweating out

Turn it up extra loud

(Oh ohhh)

Ya tonight we stepping out

Been a minute since I found

Someone who could hold it down...

(Oh ohhh)

What you really talking bout?

I been sending dirty pics

Hope they make it to the cloud

(Oh ohhh)

Watch it bouncin on the ground

Got my edges sweating out

Ba - bouncin on the ground

(Oh ohhh)

Just like this

Got that magic touch you can call me Midas

This is what its like when you're on my list

Shoot, don't miss

Love it how it feels when were just vibing

Dont fight it

Cancelled all my plans, all the side chicks

I know what I want so come try this

Baby read my lips

Let me make your night, top it off with a kiss

Eyy, yeah

Watch it bouncin on the ground

Got my edges sweating out

Turn it up extra loud

(Oh ohhh)

Ya tonight we stepping out

Been a minute since I found

Someone who could hold it down...

(Oh ohhh)

What you really talking bout?

I been sending dirty pics

Hope they make it to the cloud

(Oh ohhh)

Watch it bouncin on the ground

Got my edges sweating out

Ba - bouncin on the ground

(Oh ohhh)

Ba - bouncin on the ground

(Oh ohhh)

Ba - bouncin on the ground

(Oh ohhh)

"
333,Unconditional,"Feed my silence

Makes my heart so cold

You don't call me

Take my pulse I cant feel it anymore

Cant feel it anymore, feel it anymore

Take my pulse I cant feel it anymore

Waiting on my love to walk through the door

Waiting for ya

Im waiting for ya

Keep my hopes up every time I don't even know

How we set the bar so low

I forgive you for whatever you've done to me

Thats how much I love you

Thats how much I fuck with you

I would give you room to figure it all out

Thats how much I'm stuck with you

Unconditional love comes with a price

Two steps forward, one step back

We can never stay on track

Spent all day avoiding your phone

And now we both back at square one

I know it hurts when I'm not there

Don't understand why you're so scared

Push me away then wonder where

Where Is the one who always cared?

So I guess if you want me you got me baby I'm yours now

They want a ticket to ride, well sorry lil baby we sold out

And I dare you find somebody who gonna be more down

If we fighting for love lil baby I'm ready to throw down

So I guess if you want me you got me baby I'm yours now

They want a ticket to ride, well sorry lil baby we sold out

And I dare you find somebody who gonna be more down

If we fighting for love lil baby I'm ready to throw down"
333,Angels,"(Those folks believe one thing of themselves

Thinking that they're aristocratic

But yet at the same time they're just hiding

And are masked behind their own belief of themselves)

Ohh, ohh

See you in the morning

Ohh, ohh

You and me always feel right

When we get close we ain't never gotta force it

Woke up with you here on my mind

Picture us now drinking coffee on a Sunday

Sunrise on the city of angels

Every day more friends are feeling like strangers

But you and me always feel right

Gotta go home but ill see you in the morning

Yeah, I know you from the City of the Angels

Take a shot for me in every single angle

I know you ride for me because our love is tangled

I've tried to get away, but baby I can't let it go

'Cause your vibe is like no other, I've seen this before

Tainted ways, it's hard to cover

And you reap what you sow

If you treat me like another, non-certified, but I'm your lover, boy

You and me always feel right

When we get close, we ain't never gotta force it

Woke up with you here on my mind

Picture us now drinking coffee on a Sunday

Sunrise on the City of Angels

Every day more friends are feeling like strangers

But you and me always feel right

Gotta go home but I'll see you in the morning

And I'm not afraid, we're face to face

And the time slows down, it's all ok

Tell Uncle Ricky to turn up the music

And I love how you get in my head..."
333,Undo (Back to my heart),"When it comes to you and me

I don't have the words to say

I been leaving you alone

Cuz I think that's what you want

So you're hitting up my line

And it happens every time

And I ... kinda been emotional

Hate to think we'll never know

How to just let go of our pride

Looking for some peace of mind

Everything for me is mine

But I realize it just isn't right

I been fine on my own but I need someone

Pretend to be strong but you're what I want

We could try to undo what messed it up

So young and so dumb it all fell apart

I been focused on all of the things that went wrong

Now I don't care who's even at fault

We could turn it around no it's never too late

Finding your way right back to my heart

Find your way right back to my heart

Life's crazy, look how far you and I have come

So thankful, everything we needed we got

Building something real out here's hard

But I know that

I been fine on my own but I need someone

Pretend to be strong but you're what I want

We could try to undo what messed it up

So young and so dumb it all fell apart

I been focused on all of the things that went wrong

Now I don't care who's even at fault

We could turn it around no it's never too late

Finding your way right back to my heart

Find your way right back to my heart

I... I dont want no body, ya

I... I dont want no body, ya

I... gettin my own money, ya

Living my life like (Back to my heart)

I'm... tryna stack up lately, no lie

I be so focused, got that eagle eye

Coming to collect my things, ya

Living my like...

I been fine on my own but I need someone

Pretend to be strong but you're what I want

We could try to undo what messed it up

So young and so dumb it all fell apart

I been focused on all of the things that went wrong

Now I don't care who's even at fault

We could turn it around no it's never too late

Finding your way right back to my heart

Find your way right back to my heart"
333,Let me down slowly ,"I said call on me call on me baby

And you been blowing my phone up a-all night

Didn't even notice, wish that I could call back one last time

Lemme block ya, I gotta be focused

Let me quietly walk out of your life

Can't keep holding on now

Thinking 'bout just one more night

And now I'm folding

You know it's hard on me

I don't wanna cry no more

Waiting all night for you to hold me

Can't we just let this be?

You're making it hard to leave

Every time I try, I

Won't be lonely

Please just let me down slowly

My heart turns colder

Just can't wait to get over

Ooooh

I been chillin and living life lately

Getting used to not hitting up your line

But I been so emotional

Looking for a rebound, one more vice

Taking shots 'til I can't even focus

And I know that I really should not drive

But I'm looking for your address

Wonder if you're home tonight...

And now I'm folding

You know it's hard on me

I don't wanna cry no more

Waiting all night for you to hold me

Can't we just let this be?

You're making it hard to leave

Every time I try, I

Won't be lonely

Please just let me down slowly

My heart turns colder

Just can't wait to get over"
333,Last call,"Where did we go wrong?

Never saw it coming

I don't even know, how are we gonna move on?

Somewhere in between

Falling apart and figuring out what it all still means

Can't just be friends it hurts way too much

Guess that's just life

You left me with not enough

Pouring my heart into your cup

And every time I think you're done you come around

Using me up

Last call, oh

Here's to the tears, yeah, I'm giving it up

Last call, oh

Cheers to the years I was

Pouring my heart into your cup

Didn't know every time you came around

I ended up wasted in love

Last call, oh

You can sleep in, you been sleeping

On the weeknight, on the weekend

Yeah yeah yeah yeah

Coming over, barely sober

On the weeknight, always open

Yeah yeah yeah yeah

Can't just be friends it hurts way too much

Guess that's just life

You left me with not enough

Pouring my heart into your cup

And every time I think you're done you come around

Using me up

Last call, oh

Here's to the tears, yeah, I'm giving it up

Last call, oh

Cheers to the years I was

Pouring my heart into your cup

Didn't know every time you came around

I ended up wasted in love

Last call, oh

You can sleep in, you been sleeping

On the weeknight, on the weekend

Yeah yeah yeah yeah

Coming over, barely sober

On the weeknight, always open

Yeah yeah yeah yeah

Using me up

Last call, oh

Here's to the tears, yeah, I'm giving it up

Last call, oh

Cheers to the years I was

Pouring my heart into your cup

Didn't know every time you came around

I ended up wasted in love

Last call, oh

"
333,The Chase,"Didn't take long to decide

That I could replace your body

I made up my mind

I ain't gonna chase nobody

No, I never did that, no, I never did that

No, I never did that, no, I never will

Run back, baby, if you need that

But I won't guarantee that I want you still, I am

One in a million

Made up my mind I ain't gonna chase nobody, yeah

Won't be missed when you're gone, I'm fine on my own

If there's something that's wrong, you should let me know

'Cause I won't stay for long, if you act brand new, I can change up too

If you change up I'ma change up too, so fast I can switch my moves

Never catch me running back to you

If you act up I'ma act up too, I do me while you do you

'Cause at the end of the day, you know I tried

Didn't take long to decide

That I could replace your body

I made up my mind

I ain't gonna chase nobody

No, I never did that, no, I never did that

No, I never did that, no, I never will

Run back, baby, if you need that

But I won't guarantee that I want you still, I am

One in a million

Made up my mind, I ain't gonna chase nobody, yeah

♪

That I aint gonna chase nobody

No, I never did that, no, I never did that

No, I never did that, no, I never will

Run back, baby, if you need that

But I won't guarantee that I want you still, I am

One in a million

Made up my mind, I ain't gonna chase nobody"
333,Pasadena,"Yeah

One, two

One, two, three, hey

Feelin' right, feelin' right, feelin' right

Livin' life, it's the life (hey, hey, hey)

Feelin' free, feelin' free, feelin' right

It's a vibe, feelin' right (hey, hey, hey)

The summer's comin' 'round the corner

And now I'm feelin' like I don't even know ya

I never lived in California

Now more than ever life is all what you make it

I got a vision of a perfect night

But every day I end up goin' through the motions

I wasn't built for the simple life

In Pasadena singin', ""Do, do-do-do, do""

Feelin' right, feelin' right, feelin' right

Livin' life, it's the life (hey, hey, hey)

Feelin' free, feelin' free, feelin' right

It's a vibe, feelin' right (hey, hey, hey)

Up in the penthouse to see to the ocean

How did we get here? We don't even know (feelin' so free)

Hands in the wind, racin' out to the coast (feelin' so high)

Feelin' free, don't get better than this

Closin' the curtain on the poolside cabana (smokin' on weed)

Might mess around and get a room if you like (gettin' so high)

We got faded, then I flew her to Miami (Miami)

I think I lost my visa

Never been the type that wanna be right, I wanna live life (life, ooh)

Some say I'm psycho but this shit here go in cycles (cycles)

Tell all my rivals, ""Save that drama for your momma"" (ooh)

Smokin' ganja with my partners

Seen a bad one in the lobby, had to stop

She want sex so good it make a tear fall (tear fall, ooh)

Prancing around in that lil' leotard

When you're not around I go through withdrawals (withdrawals)

Withdrawals, without-drawls, don't matter, darling, I take it all, shit

Lately, I've been feelin' restless (restless)

I try my best just to ignore all the nonsense

If only I could manifest it (manifest)

My momma told me, ""Life is yours for the takin'""

We've been workin' way too hard, gotta live a little more

Gotta put my family on, daddy don't need no more jobs

Always been a real good vibe

In Pasadena talking shit since 'bout '02

Feelin' right, feelin' right, feelin' right

Livin' life, it's the life (hey, hey, hey)

Feelin' free, feelin' free, feelin' right

It's a vibe, feelin' right (hey, hey, hey)

Up in the penthouse to see to the ocean

How did we get here? We don't even know (feelin' so free)

Hands in the wind, racin' out to the coast (feelin' so high)

Feelin' free, can't get better than this

Feelin' so free

Feelin' so high

Up in the penthouse to see to the ocean

How did we get here? We don't even know (feelin' so free)

Hands in the wind, racin' out to the coast (feelin' so high)

Feelin' free, can't get better than this"
333,Small reminders,"Time is racing

Life seems so long

Don't go wasting

Before its all gone...

Never stop, never quit, never that

Prosmises that I made to myself

Big drip so I stay in my bag

Bad bitch make a hater so mad

Looking out there's snakes in the grass

Been bit so I stay on my own

When I get to the top it's a wrap

Aint nobody telling me shit about shit and thats that

Now or never

Perfect timing

I'll live forever

Stars keep shining

Love will find us

Don't go chasing

Small reminders

Time is racing...

I spent a 55 on a fill up... fill up

I got the top down and the window... window... its windy

I keep the cookies and a doobie lit up... lit up, uh

I'm dodging police got the dark tinted... tinted

And I'm

Hella flawed

Brush it off feelin' so

Wonderful

Rollin up the weed on a

Elevator

Going thru the ceiling now I

Came back for three-peat

Michael jordan

I got the dream and I see it clearer

Before my head ever hit the pillow

I paid my dues now I feel like enough is enough

And enough is enough and enough is enough...

Going so dumb

Going crazy

Losing count of

Blunts we're facing

They say nothing lasts forever

Be it pain or be pleasure

Nothing hurts me anymore unless I let it, uh

We're the lucky ones

What do you dream about?

When no one else is there to listen

What do you wish for?

What do you care about?

Got so much weight all on your shoulders you secretly carry around

When you look in the mirror are you proud?

When you think about your mistakes, don't make a sound

Who are you really though?

When no one can convince you different... do you even know?

If you could undo what you're going through... would you?

All you need"
333,"Bouncin', part 2","Watch it bouncin on the ground

Got my edges sweating out

Turn it up extra loud

(Oh ohhh)

Ya tonight we stepping out

Been a minute since I found

Someone who could hold it down...

(Oh ohhh)

What you really talking bout?

I been sending dirty pics

Hope they make it to the cloud

(Oh ohhh)

Watch it bouncin on the ground

Got my edges sweating out

Ba - bouncin on the ground

Ba - bouncin on the ground

(Oh ohhh)

Ba - bouncin on the ground

(Oh ohhh)

Just like this

Got that magic touch you can call me Midas

This is what its like when you're on my list

Shoot, don't miss

Love it how it feels when were just vibing

Don't fight it

Cancelled all my plans, all the side chicks

I know what I want so come try this

Baby read my lips

Let me make your night, top it off with a kiss

Oh oh yeah, you know

Who said it was over?

Can't get any closer now

Kiss me til my legs give out

Life's been heavy

But I'm ready if you're ready

Baby I'll make it right

Before the end of the night

Just like this

Got that magic touch you can call me Midas

This is what its like when you're on my list

Shoot, don't miss

Love it how it feels when were just vibing

Don't fight it

Cancelled all my plans, all the side chicks

I know what I want so come try this

Baby read my lips

Let me make your night, top it off with a kiss

Watch it bouncin on the ground

Got my edges sweating out

Turn it up extra loud

(Oh ohhh)

Ya tonight we stepping out

Been a minute since I found

Someone who could hold it down...

(Oh ohhh)"
333,It's a wrap,"You know it's a wrap, yeah

You know its a wrap

Cancelled no there aint no coming back, yeah

You know its a wrap, yeah

You know its a wrap

Quit playin, you already know, yeah

Oh, yeah yeah

Oh, yeah yeah

Oh, yeah yeah

Oh yeah

Got nothin to say to you anyway, oh

I don't need no closure, It's really ok, mmm

I'm way too fly to be feeling a way, mmm

Case closed

Yeah my new baby my bankroll, oh yay

You know its a wrap oh ya ya ya

Couldn't care less, no it aint for me

You really a clown every time you come around

This circus really in your dreams

You know it's a wrap, yeah

You know its a wrap

Cancelled no there aint no coming back, yeah

You know its a wrap, yeah

You know its a wrap

Quit playin, you already know, yeah

Oh, yeah yeah

Oh, yeah yeah

Oh, yeah yeah

Oh yeah

Now you calling me

Now you proud of me

Why you bother me

You no longer me

My economy

It don't bother me

We love the way we fucking up our moods

Reciprocating energy aint new

We trapped in contradicting points of view

And I'm so tired baby girl, I swear I'm through

You know it's a wrap, yeah

You know its a wrap

Cancelled no there aint no coming back, yeah

You know its a wrap, yeah

You know its a wrap

Quit playin, you already know, yeah

Oh, yeah yeah

Oh, yeah yeah

Oh, yeah yeah

Oh yeah"
